,player,position,team,age,club,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,tackles_interceptions,clearances,errors,ball_recoveries,aerials_won,aerials_lost,passes,passes_live,passes_dead,passes_free_kicks,passes_completed,passes_pct,passes_total_distance,passes_progressive_distance,passes_pct_short,passes_pct_medium,passes_pct_long,passes_into_final_third,touches
0,Aimen Dahmen,GK,Tunisia,25-324,CS Sfaxien,1997,3,3,270,3.0,1,0.33,10,9,90.0,1,1,1,2,66.7,0,0,0,0,,0,0,0,2.4,0.24,1.4,0.46,15,41,36.6,59,7,49.2,39.9,18,66.7,51.1,52,0,0.0,0,0.0,12.0,0.0,2.0,0.0,3.0,0.0,0.0,77.0,54.0,23.0,5.0,48.0,62.3,1544.0,1175.0,100.0,100.0,42.0,0.0,82.0
1,Alireza Beiranvand,GK,IR Iran,30-088,Persepolis,1992,2,2,109,1.2,1,0.83,5,4,80.0,0,0,1,0,0.0,0,0,0,0,,0,0,0,1.8,0.35,0.8,0.64,5,16,31.3,22,3,40.9,33.5,9,77.8,53.1,19,0,0.0,0,0.0,4.7,0.0,2.0,0.0,0.0,0.0,0.0,31.0,22.0,9.0,0.0,20.0,64.5,604.0,501.0,100.0,100.0,31.3,1.0,34.0
2,Alisson,GK,Brazil,30-077,Liverpool,1992,4,4,379,4.2,2,0.47,7,5,71.4,2,1,0,2,50.0,0,0,0,0,,0,0,0,1.9,0.28,-0.1,-0.02,5,14,35.7,74,12,13.5,23.4,19,21.1,25.6,44,0,0.0,7,1.81,22.0,0.0,2.0,0.0,7.0,1.0,0.0,93.0,65.0,28.0,9.0,80.0,86.0,1590.0,999.0,100.0,95.1,50.0,1.0,101.0
3,Andries Noppert,GK,Netherlands,28-255,Heerenveen,1994,5,5,480,5.3,4,0.75,22,18,86.4,3,2,0,2,40.0,1,1,0,0,0.0,0,0,0,6.5,0.25,2.5,0.5,22,55,40.0,152,34,25.7,29.2,40,40.0,35.7,63,6,9.5,5,1.0,13.3,0.0,4.0,0.0,4.0,0.0,0.0,192.0,145.0,47.0,7.0,157.0,81.8,3993.0,2923.0,100.0,100.0,58.0,0.0,205.0
4,André Onana,GK,Cameroon,26-260,Inter,1996,1,1,80,0.9,1,1.13,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,0,0,0,0.9,0.31,-0.1,-0.06,6,20,30.0,50,6,36.0,31.0,9,22.2,28.6,17,0,0.0,0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,59.0,44.0,15.0,6.0,45.0,76.3,998.0,623.0,100.0,100.0,39.1,1.0,60.0
5,Danny Ward,GK,Wales,29-179,Leicester City,1993,2,1,94,1.0,5,4.79,9,4,44.4,0,0,1,0,0.0,0,0,0,0,,1,0,0,3.4,0.38,-1.6,-1.49,12,27,44.4,30,2,60.0,38.7,9,100.0,63.1,14,1,7.1,1,0.96,12.8,0.0,0.0,1.0,2.0,0.0,0.0,39.0,25.0,14.0,5.0,24.0,61.5,923.0,797.0,100.0,100.0,48.3,2.0,42.0
6,Devis Epassy,GK,Cameroon,29-319,Abha,1993,2,2,180,2.0,3,1.5,12,9,75.0,1,1,0,1,50.0,0,0,0,0,,0,0,0,4.0,0.33,1.0,0.5,23,47,48.9,58,11,48.3,38.3,25,76.0,53.4,40,3,7.5,0,0.0,8.2,0.0,2.0,0.0,1.0,2.0,0.0,83.0,51.0,32.0,7.0,57.0,68.7,2043.0,1646.0,100.0,100.0,51.9,2.0,93.0
7,Diogo Costa,GK,Portugal,23-090,Porto,1999,5,5,450,5.0,6,1.2,17,11,64.7,3,0,2,1,20.0,0,0,0,0,,0,2,0,6.0,0.35,0.0,-0.01,13,52,25.0,123,22,31.7,33.2,35,37.1,39.6,47,3,6.4,8,1.6,15.9,1.0,4.0,1.0,9.0,0.0,1.0,160.0,117.0,41.0,6.0,113.0,70.6,2890.0,2021.0,100.0,98.5,40.3,3.0,170.0
8,Dominik Livaković,GK,Croatia,27-343,Dinamo Zagreb,1995,7,7,690,7.7,7,0.91,31,24,80.6,2,4,1,2,28.6,1,1,0,0,0.0,0,1,0,10.5,0.31,3.5,0.5,31,63,49.2,178,46,24.2,26.7,50,40.0,34.9,99,8,8.1,3,0.43,10.8,0.0,0.0,0.0,11.0,1.0,0.0,228.0,166.0,62.0,12.0,194.0,85.1,4572.0,3311.0,100.0,100.0,56.6,3.0,245.0
9,Ederson,GK,Brazil,29-123,Manchester City,1993,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,0,0,0,1.2,0.39,0.2,0.18,3,4,75.0,25,10,12.0,25.8,6,16.7,29.8,8,0,0.0,2,2.0,15.5,0.0,0.0,0.0,2.0,0.0,0.0,31.0,25.0,6.0,0.0,28.0,90.3,728.0,547.0,100.0,89.5,87.5,0.0,32.0
10,Edouard Mendy,GK,Senegal,30-292,Chelsea,1992,4,4,360,4.0,7,1.75,14,7,50.0,2,0,2,0,0.0,0,0,0,0,,0,1,0,5.4,0.41,-1.6,-0.41,15,44,34.1,94,15,39.4,35.5,26,26.9,30.1,64,3,4.7,2,0.5,11.8,0.0,3.0,1.0,4.0,3.0,1.0,120.0,83.0,37.0,11.0,88.0,73.3,2342.0,1501.0,100.0,100.0,45.8,1.0,128.0
11,Emiliano Martínez,GK,Argentina,30-107,Aston Villa,1992,7,7,690,7.7,8,1.04,13,6,53.8,4,2,1,3,42.9,2,2,0,0,0.0,0,0,1,5.4,0.26,-1.6,-0.22,15,78,19.2,147,34,38.8,34.4,39,53.8,46.0,87,12,13.8,4,0.57,12.1,0.0,3.0,0.0,4.0,2.0,0.0,187.0,131.0,55.0,16.0,120.0,64.2,2839.0,1877.0,100.0,100.0,26.1,1.0,196.0
12,Gregor Kobel,GK,Switzerland,25-012,Dortmund,1997,1,1,90,1.0,2,2.0,4,2,50.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,1.5,0.37,-0.5,-0.5,1,9,11.1,21,6,28.6,33.0,8,37.5,36.3,19,0,0.0,0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,29.0,18.0,11.0,3.0,21.0,72.4,478.0,277.0,100.0,100.0,11.1,0.0,29.0
13,Guillermo Ochoa,GK,Mexico,37-158,América,1985,3,3,270,3.0,3,1.0,6,2,50.0,1,1,1,1,33.3,1,0,1,0,100.0,0,1,0,3.0,0.33,0.0,-0.01,10,24,41.7,81,12,19.8,28.1,26,30.8,32.8,28,0,0.0,3,1.0,12.9,0.0,0.0,0.0,7.0,0.0,0.0,109.0,75.0,32.0,6.0,93.0,85.3,2274.0,1555.0,100.0,100.0,60.0,1.0,112.0
14,Hernán Galíndez,GK,Ecuador,35-263,SD Aucas,1987,3,3,270,3.0,3,1.0,4,1,50.0,1,1,1,1,33.3,1,1,0,0,0.0,0,0,0,2.1,0.27,-0.9,-0.31,11,40,27.5,53,6,47.2,38.3,21,71.4,52.0,26,1,3.8,2,0.67,13.0,0.0,0.0,0.0,3.0,2.0,0.0,74.0,46.0,28.0,7.0,44.0,59.5,1275.0,996.0,100.0,100.0,34.8,0.0,77.0
15,Hossein Hosseini,GK,IR Iran,30-171,Esteghlal,1992,2,1,161,1.8,6,3.35,10,4,40.0,1,0,0,1,100.0,0,0,0,0,,0,1,0,3.7,0.37,-2.3,-1.28,8,30,26.7,34,14,55.9,41.0,11,100.0,64.6,27,4,14.8,0,0.0,7.3,0.0,0.0,0.0,0.0,1.0,1.0,47.0,30.0,15.0,4.0,23.0,48.9,811.0,676.0,,100.0,38.9,0.0,49.0
16,Hugo Lloris,GK,France,35-357,Tottenham,1986,6,6,570,6.3,7,1.11,24,17,83.3,5,1,0,1,16.7,4,3,0,1,0.0,0,1,0,8.7,0.25,1.7,0.29,34,100,34.0,125,22,49.6,39.5,56,67.9,50.0,70,7,10.0,5,0.83,13.9,0.0,3.0,0.0,5.0,3.0,0.0,182.0,108.0,73.0,17.0,110.0,60.4,3608.0,2916.0,100.0,95.7,40.0,2.0,203.0
17,Jordan Pickford,GK,England,28-286,Everton,1994,5,5,450,5.0,4,0.8,11,7,72.7,3,1,1,3,60.0,1,1,0,0,0.0,0,1,0,2.5,0.24,-1.5,-0.3,20,51,39.2,123,14,27.6,29.2,36,47.2,45.9,39,2,5.1,5,1.0,16.2,0.0,2.0,0.0,4.0,0.0,0.0,160.0,120.0,39.0,3.0,126.0,78.8,3259.0,2161.0,100.0,100.0,46.7,2.0,169.0
18,Kasper Schmeichel,GK,Denmark,36-043,Nice,1986,3,3,270,3.0,3,1.0,11,8,72.7,0,1,2,1,33.3,0,0,0,0,,0,0,0,3.7,0.34,0.7,0.24,9,24,37.5,71,12,26.8,30.2,16,31.3,35.8,38,0,0.0,5,1.67,19.2,0.0,0.0,0.0,5.0,2.0,0.0,87.0,69.0,18.0,1.0,72.0,82.8,1830.0,1388.0,100.0,100.0,57.1,3.0,91.0
19,Keylor Navas,GK,Costa Rica,36-003,Paris S-G,1986,3,3,270,3.0,11,3.67,22,11,54.5,1,0,2,1,33.3,1,1,0,0,0.0,0,0,0,9.6,0.39,-1.4,-0.46,20,58,34.5,68,14,50.0,41.7,33,72.7,52.0,51,2,3.9,2,0.67,9.9,2.0,2.0,1.0,0.0,0.0,0.0,102.0,60.0,41.0,8.0,61.0,59.8,2135.0,1522.0,100.0,100.0,42.6,1.0,114.0
20,Kim Seung-gyu,GK,Korea Republic,32-079,Al-Shabab,1990,4,4,360,4.0,8,2.0,19,11,63.2,1,1,2,1,25.0,1,1,0,0,0.0,0,0,0,6.6,0.3,-1.4,-0.34,11,42,26.2,99,12,28.3,31.5,29,48.3,43.3,47,3,6.4,5,1.25,15.2,2.0,2.0,0.0,5.0,0.0,2.0,128.0,85.0,43.0,14.0,93.0,72.7,2291.0,1407.0,100.0,100.0,42.4,1.0,139.0
21,Lawrence Ati-Zigi,GK,Ghana,26-019,St. Gallen,1996,3,3,270,3.0,7,2.33,17,10,64.7,1,0,2,0,0.0,1,1,0,0,0.0,0,0,0,6.5,0.34,-0.5,-0.18,13,36,36.1,47,8,53.2,41.6,31,35.5,35.0,58,2,3.4,1,0.33,11.4,0.0,0.0,0.0,3.0,0.0,0.0,78.0,39.0,39.0,8.0,54.0,69.2,1547.0,1137.0,100.0,100.0,36.8,1.0,87.0
22,Manuel Neuer,GK,Germany,36-266,Bayern Munich,1986,3,3,270,3.0,5,1.67,13,8,61.5,1,1,1,0,0.0,0,0,0,0,,0,0,0,5.1,0.44,0.1,0.04,7,15,46.7,113,16,13.3,25.7,14,0.0,22.4,22,0,0.0,6,2.0,20.3,0.0,0.0,2.0,4.0,0.0,0.0,127.0,111.0,16.0,2.0,115.0,90.6,2729.0,1737.0,100.0,96.2,78.3,0.0,133.0
23,Mathew Ryan,GK,Australia,30-254,FC Copenhagen,1992,4,4,360,4.0,6,1.5,18,12,66.7,2,0,2,2,50.0,0,0,0,0,,0,1,0,5.5,0.31,-0.5,-0.13,38,85,44.7,127,13,50.4,38.5,37,56.8,46.2,63,3,4.8,6,1.5,15.5,0.0,6.0,1.0,4.0,0.0,0.0,164.0,111.0,53.0,16.0,113.0,68.9,3668.0,2579.0,100.0,100.0,51.4,1.0,176.0
24,Matt Turner,GK,United States,28-177,Arsenal,1994,4,4,360,4.0,4,1.0,12,8,75.0,1,2,1,2,50.0,1,1,0,0,0.0,0,0,0,3.4,0.2,-0.6,-0.15,13,38,34.2,108,24,24.1,29.4,20,60.0,48.1,42,7,16.7,5,1.25,13.8,0.0,1.0,0.0,7.0,0.0,0.0,128.0,98.0,30.0,10.0,101.0,78.9,2504.0,1748.0,100.0,98.0,48.0,2.0,137.0
25,Meshaal Barsham,GK,Qatar,24-307,Al Sadd SC,1998,2,2,180,2.0,5,2.5,9,4,44.4,0,0,2,0,0.0,0,0,0,0,,0,1,0,2.9,0.41,-2.1,-1.06,6,19,31.6,42,9,38.1,31.7,20,15.0,21.4,22,1,4.5,2,1.0,11.3,0.0,1.0,1.0,1.0,0.0,1.0,63.0,38.0,24.0,4.0,45.0,71.4,968.0,715.0,100.0,93.8,40.7,0.0,69.0
26,Milan Borjan,GK,Canada,35-056,Red Star,1987,3,3,270,3.0,7,2.33,15,8,53.3,0,0,3,0,0.0,0,0,0,0,,0,0,0,5.4,0.37,-1.6,-0.52,11,29,37.9,82,22,31.7,30.1,15,20.0,28.3,29,0,0.0,2,0.67,15.1,0.0,2.0,1.0,3.0,0.0,0.0,98.0,72.0,25.0,10.0,76.0,77.6,1825.0,1254.0,100.0,97.5,47.4,1.0,105.0
27,Mohammed Al-Owais,GK,Saudi Arabia,31-069,Al-Hilal,1991,3,3,270,3.0,5,1.67,19,14,78.9,1,0,2,0,0.0,1,1,0,0,0.0,1,1,0,6.8,0.31,1.8,0.59,16,53,30.2,71,14,47.9,40.5,29,65.5,48.3,55,4,7.3,14,4.67,18.0,0.0,4.0,0.0,5.0,2.0,0.0,100.0,54.0,46.0,17.0,57.0,57.0,1829.0,1286.0,100.0,100.0,32.8,0.0,113.0
28,Munir,GK,Morocco,33-222,Al-Wehda,1989,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,0,0,0,0.3,0.1,0.3,0.29,5,13,38.5,15,4,40.0,37.1,13,53.8,47.5,17,0,0.0,0,0.0,11.5,0.0,0.0,0.0,1.0,0.0,1.0,28.0,15.0,13.0,0.0,19.0,67.9,597.0,413.0,100.0,100.0,43.8,0.0,31.0
29,Saad Al Sheeb,GK,Qatar,32-302,Al Sadd SC,1990,1,1,90,1.0,2,2.0,3,1,66.7,0,0,1,0,0.0,1,1,0,0,0.0,0,0,0,1.5,0.15,-0.5,-0.54,2,3,66.7,16,4,18.8,25.6,4,0.0,25.8,11,0,0.0,1,1.0,14.7,0.0,0.0,0.0,3.0,1.0,0.0,20.0,13.0,7.0,3.0,18.0,90.0,409.0,287.0,100.0,100.0,66.7,0.0,22.0
30,Sergio Rochet,GK,Uruguay,29-270,Nacional,1993,3,3,270,3.0,2,0.67,7,4,85.7,1,1,1,2,66.7,2,1,1,0,50.0,0,0,0,3.0,0.16,1.0,0.34,6,27,22.2,54,6,37.0,33.4,24,29.2,29.9,33,2,6.1,2,0.67,11.0,0.0,1.0,1.0,2.0,1.0,0.0,78.0,49.0,29.0,5.0,54.0,69.2,1262.0,1003.0,100.0,96.4,30.3,0.0,88.0
31,Shūichi Gonda,GK,Japan,33-290,S-Pulse,1989,4,4,390,4.3,4,0.92,19,15,84.2,2,1,1,0,0.0,1,1,0,0,0.0,0,0,0,5.3,0.24,1.3,0.33,12,54,22.2,86,12,44.2,35.8,26,61.5,45.7,61,4,6.6,0,0.0,8.4,0.0,1.0,1.0,1.0,1.0,0.0,113.0,73.0,39.0,13.0,68.0,60.2,1770.0,1301.0,100.0,97.0,27.1,1.0,124.0
32,Steve Mandanda,GK,France,37-265,Rennes,1985,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,0,0,0,0.6,0.18,-0.4,-0.45,1,12,8.3,22,6,40.9,36.7,9,33.3,33.6,19,1,5.3,0,0.0,11.7,0.0,0.0,0.0,1.0,0.0,0.0,31.0,19.0,12.0,3.0,19.0,61.3,414.0,303.0,100.0,100.0,14.3,0.0,32.0
33,Thibaut Courtois,GK,Belgium,30-221,Real Madrid,1992,3,3,270,3.0,2,0.67,11,8,81.8,1,1,1,2,66.7,1,0,1,0,100.0,0,0,0,4.1,0.28,2.1,0.69,10,23,43.5,87,15,17.2,26.7,36,22.2,33.5,36,1,2.8,2,0.67,14.0,0.0,0.0,1.0,2.0,0.0,0.0,123.0,84.0,39.0,3.0,108.0,87.8,2642.0,1731.0,100.0,100.0,59.5,2.0,129.0
34,Unai Simón,GK,Spain,25-190,Athletic Club,1997,4,4,390,4.3,3,0.69,9,6,66.7,1,2,1,2,50.0,0,0,0,0,,0,0,0,3.7,0.41,0.7,0.18,7,11,63.6,138,19,7.2,22.0,22,4.5,21.4,22,4,18.2,6,1.5,15.7,0.0,2.0,3.0,11.0,2.0,0.0,160.0,136.0,24.0,2.0,150.0,93.8,3167.0,2017.0,100.0,96.8,74.1,0.0,167.0
35,Vanja Milinković-Savić,GK,Serbia,25-301,Torino,1997,3,3,270,3.0,8,2.67,24,16,66.7,0,1,2,0,0.0,0,0,0,0,,0,1,0,7.7,0.33,-0.3,-0.11,17,50,34.0,104,21,33.7,34.2,21,71.4,57.2,28,3,10.7,8,2.67,20.3,1.0,2.0,0.0,5.0,1.0,0.0,125.0,97.0,28.0,7.0,90.0,72.0,2523.0,1707.0,100.0,98.3,39.3,4.0,136.0
36,Wayne Hennessey,GK,Wales,35-328,Nott'ham Forest,1987,2,2,175,1.9,1,0.51,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,0,0,0,1.5,0.3,0.5,0.26,11,26,42.3,50,18,36.0,32.9,16,50.0,41.0,34,2,5.9,1,0.51,7.4,0.0,0.0,0.0,0.0,1.0,0.0,66.0,46.0,20.0,4.0,50.0,75.8,1375.0,948.0,100.0,100.0,52.9,0.0,68.0
37,Wojciech Szczęsny,GK,Poland,32-244,Juventus,1990,4,4,360,4.0,5,1.25,28,21,82.1,1,1,2,2,50.0,2,0,2,0,100.0,0,0,0,7.8,0.22,2.8,0.7,40,95,42.1,109,13,62.4,43.3,33,81.8,56.3,66,1,1.5,0,0.0,7.9,0.0,4.0,0.0,4.0,2.0,0.0,142.0,90.0,52.0,19.0,84.0,59.2,3118.0,2632.0,100.0,100.0,42.6,7.0,159.0
38,Wéverton,GK,Brazil,35-005,Palmeiras,1987,1,0,11,0.1,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0.0,,0.0,0.0,2,4,50.0,3,0,66.7,48.3,2,100.0,67.5,0,0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,1.0,3.0,60.0,145.0,126.0,,,60.0,0.0,5.0
39,Yann Sommer,GK,Switzerland,34-001,M'Gladbach,1988,3,3,270,3.0,7,2.33,19,12,63.2,1,0,2,1,33.3,0,0,0,0,,0,1,0,7.1,0.38,0.1,0.05,5,12,41.7,99,17,12.1,24.1,19,0.0,16.9,49,2,4.1,1,0.33,9.8,0.0,0.0,0.0,5.0,0.0,1.0,118.0,97.0,21.0,2.0,108.0,91.5,2284.0,1327.0,100.0,98.5,64.0,0.0,126.0
40,Yassine Bounou,GK,Morocco,31-257,Sevilla,1991,6,6,570,6.3,5,0.79,11,7,54.5,2,2,2,3,50.0,0,0,0,0,,0,0,1,3.6,0.33,-0.4,-0.06,32,79,40.5,151,16,29.1,31.3,56,62.5,46.6,92,5,5.4,6,1.0,12.7,0.0,5.0,0.0,7.0,1.0,0.0,209.0,134.0,73.0,17.0,154.0,73.7,4346.0,3101.0,100.0,97.6,45.7,0.0,219.0
